источник,профиль,файл,"размер, Б",шум/условия,"расстояние, см","время, с","скорость, Б/с","успех, %"
авто,robust,текст 10 КБ,10240,чисто,—,58.8,174.2,100
авто,robust,текст 10 КБ,10240,биты 0.2%,—,58.8,174.2,100
авто,robust,текст 10 КБ,10240,потеря кадров 10%,—,87.4,117.2,100
авто,robust,текст 10 КБ,10240,биты 0.2% + потеря 10%,—,78.5,130.5,100
авто,robust,случайные 1 КБ,1024,чисто,—,142.6,7.2,100
авто,robust,случайные 1 КБ,1024,биты 0.2%,—,142.6,7.2,100
авто,robust,случайные 1 КБ,1024,потеря кадров 10%,—,165.1,6.2,100
авто,robust,случайные 1 КБ,1024,биты 0.2% + потеря 10%,—,168.1,6.1,100
авто,robust,случайные 10 КБ,10240,чисто,—,1167.0,8.8,100
авто,robust,случайные 10 КБ,10240,биты 0.2%,—,1167.0,8.8,100
авто,robust,случайные 10 КБ,10240,потеря кадров 10%,—,1314.8,7.8,100
авто,robust,случайные 10 КБ,10240,биты 0.2% + потеря 10%,—,1346.4,7.6,100
авто,robust,случайные 100 КБ,102400,чисто,—,11435.4,9.0,100
авто,robust,случайные 100 КБ,102400,биты 0.2%,—,11435.4,9.0,100
авто,robust,случайные 100 КБ,102400,потеря кадров 10%,—,12792.8,8.0,100
авто,robust,случайные 100 КБ,102400,биты 0.2% + потеря 10%,—,12785.6,8.0,100
авто,robust,случайные 1 МБ,1048576,чисто,—,116845.1,9.0,100
авто,robust,случайные 1 МБ,1048576,биты 0.2%,—,116845.1,9.0,100
авто,robust,случайные 1 МБ,1048576,потеря кадров 10%,—,130731.3,8.0,100
авто,robust,случайные 1 МБ,1048576,биты 0.2% + потеря 10%,—,130256.2,8.1,100
авто,medium,текст 10 КБ,10240,чисто,—,30.0,341.4,100
авто,medium,текст 10 КБ,10240,биты 0.2%,—,30.0,341.4,100
авто,medium,текст 10 КБ,10240,потеря кадров 10%,—,45.4,225.7,100
авто,medium,текст 10 КБ,10240,биты 0.2% + потеря 10%,—,45.8,223.5,100
авто,medium,случайные 1 КБ,1024,чисто,—,40.7,25.1,100
авто,medium,случайные 1 КБ,1024,биты 0.2%,—,40.7,25.1,100
авто,medium,случайные 1 КБ,1024,потеря кадров 10%,—,52.6,19.5,100
авто,medium,случайные 1 КБ,1024,биты 0.2% + потеря 10%,—,57.0,17.9,100
авто,medium,случайные 10 КБ,10240,чисто,—,177.0,57.9,100
авто,medium,случайные 10 КБ,10240,биты 0.2%,—,177.0,57.9,100
авто,medium,случайные 10 КБ,10240,потеря кадров 10%,—,215.8,47.4,100
авто,medium,случайные 10 КБ,10240,биты 0.2% + потеря 10%,—,231.9,44.2,100
авто,medium,случайные 100 КБ,102400,чисто,—,1537.5,66.6,100
авто,medium,случайные 100 КБ,102400,биты 0.2%,—,1537.5,66.6,100
авто,medium,случайные 100 КБ,102400,потеря кадров 10%,—,1750.7,58.5,100
авто,medium,случайные 100 КБ,102400,биты 0.2% + потеря 10%,—,1811.6,56.5,100
авто,medium,случайные 1 МБ,1048576,чисто,—,15503.8,67.6,100
авто,medium,случайные 1 МБ,1048576,биты 0.2%,—,15503.8,67.6,100
авто,medium,случайные 1 МБ,1048576,потеря кадров 10%,—,17674.5,59.3,100
авто,medium,случайные 1 МБ,1048576,биты 0.2% + потеря 10%,—,17673.6,59.3,100
авто,fast,текст 10 КБ,10240,чисто,—,26.6,385.2,100
авто,fast,текст 10 КБ,10240,биты 0.2%,—,26.6,385.2,100
авто,fast,текст 10 КБ,10240,потеря кадров 10%,—,41.6,246.1,100
авто,fast,текст 10 КБ,10240,биты 0.2% + потеря 10%,—,38.3,267.3,100
авто,fast,случайные 1 КБ,1024,чисто,—,29.4,34.9,100
авто,fast,случайные 1 КБ,1024,биты 0.2%,—,29.4,34.9,100
авто,fast,случайные 1 КБ,1024,потеря кадров 10%,—,36.3,28.2,100
авто,fast,случайные 1 КБ,1024,биты 0.2% + потеря 10%,—,41.1,24.9,100
авто,fast,случайные 10 КБ,10240,чисто,—,65.6,156.1,100
авто,fast,случайные 10 КБ,10240,биты 0.2%,—,65.6,156.1,100
авто,fast,случайные 10 КБ,10240,потеря кадров 10%,—,96.3,106.3,100
авто,fast,случайные 10 КБ,10240,биты 0.2% + потеря 10%,—,80.7,126.9,100
авто,fast,случайные 100 КБ,102400,чисто,—,427.8,239.4,100
авто,fast,случайные 100 КБ,102400,биты 0.2%,—,427.8,239.4,100
авто,fast,случайные 100 КБ,102400,потеря кадров 10%,—,501.7,204.1,100
авто,fast,случайные 100 КБ,102400,биты 0.2% + потеря 10%,—,497.5,205.8,100
авто,fast,случайные 1 МБ,1048576,чисто,—,4146.0,252.9,100
авто,fast,случайные 1 МБ,1048576,биты 0.2%,—,4146.0,252.9,100
авто,fast,случайные 1 МБ,1048576,потеря кадров 10%,—,4764.6,220.1,100
авто,fast,случайные 1 МБ,1048576,биты 0.2% + потеря 10%,—,4797.0,218.6,100
